Hero Name,Abilities,Character Description
Mars,"Spear of Mars (line stun into terrain), God's Rebuke (shield bash/crit), Bulwark (block attacks from front), Arena of Blood (trap in circle)",God of war who blocks attacks with his shield and traps enemies in his arena
Night Stalker,"Void (nuke/slow, mini-stun at night), Crippling Fear (miss chance/silence at night), Hunter in the Night (speed/attack at night), Dark Ascension (flying/night)",Predator who becomes vastly more powerful when the sun sets
Ogre Magi,"Fireblast (stun), Ignite (DOT/slow), Bloodlust (attack speed/movement buff), Multicast (chance to cast multiple times)",Lucky two-headed ogre whose spells can randomly cast multiple times
Omniknight,"Purification (heal/damage), Heavenly Grace (status resist/regen), Degen Aura (slow aura), Guardian Angel (physical immunity)",Holy protector who shields allies from physical harm and purifies their wounds
Phoenix,"Icarus Dive (dive with damage), Fire Spirits (attack slow projectiles), Sun Ray (beam heal/damage), Supernova (egg rebirth)",Immortal bird who dives through enemies and is reborn from a fiery egg
Primal Beast,"Onslaught (charge and knockback), Trample (AOE damage while moving), Uproar (damage reduction stacks), Pulverize (channel stun)",Unstoppable beast who charges through enemies and pulverizes them with raw strength
Pudge,"Meat Hook (pull enemy), Rot (self/AOE damage), Flesh Heap (magic resist/strength per kill), Dismember (channel disable/damage)",Grotesque butcher who hooks enemies and dismembers them at close range
Slardar,"Guardian Sprint (speed boost/damage taken), Slithereen Crush (AOE stun), Bash of the Deep (passive bash), Corrosive Haze (reduce armor/true sight)",Aquatic warrior who bashes enemies and reduces their armor to nothing
Spirit Breaker,"Charge of Darkness (charge across map), Empowering Haste (speed aura), Greater Bash (passive bash/knockback), Nether Strike (teleport bash)",Relentless charger who bashes across the map to stun his targets
Sven,"Storm Hammer (AOE stun), Great Cleave (passive cleave), Warcry (armor/speed buff), God's Strength (massive damage boost)",Legendary knight who empowers himself to cleave entire teams with godlike strength
Tidehunter,"Gush (armor reduction/slow), Kraken Shell (damage block/dispel), Anchor Smash (damage/attack reduction), Ravage (huge AOE stun)",Massive sea creature who devastates teamfights with a crushing tidal wave
Timbersaw,"Whirling Death (reduce stats), Timber Chain (hook to tree/damage), Reactive Armor (armor/regen stacks), Chakram (sawblade AOE)",Insane goblin in a mech suit who chains between trees and saws through enemies
Tiny,"Avalanche (AOE stun), Toss (throw unit for damage), Tree Grab (attack buildings/cleave), Grow (increase size/damage)",Living mountain who grows larger and throws allies or enemies
Treant Protector,"Nature's Grasp (root), Leech Seed (slow/heal), Living Armor (heal/block damage), Overgrowth (root all nearby)",Ancient tree guardian who protects allies with living armor and roots enemies in place
Tusk,"Ice Shards (block path), Snowball (roll into enemies), Tag Team (slow aura), Walrus Punch (critical slow)",Brawler who punches enemies into the air and rolls snowballs at them
Underlord,"Firestorm (delayed damage), Pit of Malice (root), Atrophy Aura (reduce enemy damage/gain damage), Dark Rift (teleport team)",Demonic lord who weakens enemies and teleports his army across the map
Undying,"Decay (steal strength), Soul Rip (heal/damage based on units), Tombstone (spawn zombies), Flesh Golem (slow/amplify damage)",Undead horror who steals life force and summons tombstones that spawn zombies
Wraith King,"Wraithfire Blast (stun/DOT), Vampiric Spirit (lifesteal aura/summon), Mortal Strike (crit/slow), Reincarnation (revive on death)",Skeleton king who rises from death and commands his undead army
Anti-Mage,"Mana Break (burn mana), Blink (short teleport), Counterspell (magic resist/reflect), Mana Void (damage based on missing mana)","Agile monk who hunts mages, burns their mana, and blinks around the battlefield"
Bloodseeker,"Bloodrage (damage amp/lifesteal), Blood Rite (AOE delayed silence), Thirst (speed/vision from low HP enemies), Rupture (damage on movement)",Savage hunter who smells blood and tears apart fleeing wounded enemies
Bounty Hunter,"Shuriken Toss (nuke that bounces), Jinada (crit/slow), Shadow Walk (invisibility), Track (vision/bonus gold)",Stealthy assassin who tracks enemies for bonus gold and strikes from shadows
Broodmother,"Spawn Spiderlings (summon spiders on kill), Spin Web (free pathing/regen in webs), Incapacitating Bite (miss/slow), Insatiable Hunger (lifesteal)",Spider queen who creates webs and spawns armies of spiderlings
Clinkz,"Strafe (attack speed), Tar Bomb (slow/vision), Searing Arrows (bonus damage), Skeleton Walk (invisibility/speed)",Flaming archer who becomes invisible and shoots devastating fire arrows
Drow Ranger,"Frost Arrows (slow orb), Gust (knockback/silence), Multishot (attack multiple), Marksmanship (agility bonus/proc arrows)",Precise ranger whose arrows grow stronger when alone and can strike multiple foes
Ember Spirit,"Searing Chains (immobilize nearby), Sleight of Fist (strike all in area), Flame Guard (shield/AOE burn), Fire Remnant (dash to spirits)",Fiery spirit who dashes between flame remnants slashing all enemies
Faceless Void,"Time Walk (blink/heal damage taken), Time Dilation (slow/freeze cooldowns), Time Lock (bash/slow), Chronosphere (freeze time)",Time-manipulating assassin who traps enemies in frozen time
Gyrocopter,"Rocket Barrage (random rockets), Homing Missile (stun projectile), Flak Cannon (hit all nearby), Call Down (global AOE slow/damage)",Flying bomber who unleashes rockets and calls down airstrikes
Hoodwink,"Acorn Shot (bounce damage/slow), Bushwhack (stun on trees), Scurry (evasion/phase), Sharpshooter (charged long-range shot)",Clever fox archer who uses trees tactically and charges powerful shots
Juggernaut,"Blade Fury (spin magic immune), Healing Ward (mobile heal), Blade Dance (crit), Omnislash (slash between enemies)",Swift swordsman who spins through enemies and unleashes a flurry of slashes
Kez,"Echo Slash (dual slash), Raptor Dance (dodge/damage), Shodo Sai (throwable weapons), Falcon Rush (dive strike)",Dual-wielding warrior who switches between katana and sai fighting styles
Lone Druid,"Summon Spirit Bear (powerful summon), Spirit Link (shared lifesteal), Savage Roar (fear/damage reduction), True Form (transform/battle cry)",Druid who commands a mighty spirit bear and can transform into bear form
Luna,"Lucent Beam (nuke), Moon Glaives (bounce attacks), Lunar Blessing (damage/night vision aura), Eclipse (multiple beams)",Moon rider whose attacks bounce between enemies and calls down lunar beams
Medusa,"Split Shot (attack multiple), Mystic Snake (bounce nuke/mana steal), Mana Shield (absorb damage with mana), Stone Gaze (petrify looking enemies)",Serpentine archer whose gaze turns enemies to stone
Meepo,"Earthbind (root), Poof (teleport with damage), Ransack (lifesteal/regen), Divided We Stand (clone self)",Geomancer who creates perfect clones of himself to overwhelm enemies
Mirana,"Starstorm (nuke nearby), Sacred Arrow (long stun projectile), Leap (jump), Moonlight Shadow (team invisibility)",Lunar priestess who shoots devastating arrows and cloaks her team in moonlight
Monkey King,"Boundless Strike (extend staff/stun), Tree Dance (leap between trees), Jingu Mastery (bonus damage after hits), Wukong's Command (create circle of monkeys)",Trickster monkey who leaps through trees and summons an army of warriors
Morphling,"Waveform (dash through enemies), Adaptive Strike (nuke or stun), Attribute Shift (morph stats), Morph (copy enemy hero)",Shapeshifter who morphs between agility and strength and can copy enemies
Naga Siren,"Mirror Image (illusions), Ensnare (root), Rip Tide (armor reduction), Song of the Siren (sleep all)",Siren who creates illusions and puts everyone to sleep with her song
Phantom Assassin,"Stifling Dagger (ranged attack/slow), Phantom Strike (blink to target), Blur (evasion), Coup de Grace (massive crit)",Elusive assassin who blinks to targets and strikes with devastating critical hits
Phantom Lancer,"Spirit Lance (nuke/slow), Doppelganger (dodge/illusions), Phantom Rush (phase/charge), Juxtapose (create illusions on attack)",Illusionist who creates an overwhelming army of dopplegangers
Razor,"Plasma Field (expanding/contracting damage), Static Link (steal damage), Storm Surge (speed when damaged), Eye of the Storm (attack armor/buildings)",Lightning revenant who steals enemy damage and strikes with electrical energy
Riki,"Smoke Screen (silence/miss), Blink Strike (teleport backstab), Cloak and Dagger (invisibility/backstab), Tricks of the Trade (AOE attacks in smoke)",Permanent invisible assassin who backstabs and strikes from smoke clouds
Shadow Fiend,"Shadowraze (3 different range nukes), Necromastery (souls increase damage), Presence of the Dark Lord (armor reduction aura), Requiem of Souls (release souls AOE)",Soul-collecting demon whose power grows with each kill
Slark,"Dark Pact (purge/damage), Pounce (leap/leash), Essence Shift (steal stats), Shadow Dance (invisibility/regen when unseen)",Slippery assassin who steals stats and regenerates when unwatched
Sniper,"Shrapnel (AOE slow/damage/vision), Headshot (slow/knockback on attack), Take Aim (range increase), Assassinate (long range nuke)",Long-range marksman who picks off enemies from extreme distances
Spectre,"Spectral Dagger (slow/path), Desolate (bonus vs alone), Dispersion (reflect damage), Haunt (create illusions near all enemies)",Vengeful phantom who reflects damage and haunts all enemies globally
Templar Assassin,"Refraction (damage block/bonus damage), Meld (invisibility/armor reduction strike), Psi Blades (attack range/spill)","Trap (invisible slow traps), Secretive assassin who strikes from stealth with armor-piercing attacks"
Terrorblade,"Reflection (create illusion of enemy), Conjure Image (create illusion of self), Metamorphosis (transform ranged), Sunder (swap HP)",Demon who creates powerful illusions and swaps health with enemies
Troll Warlord,"Berserker's Rage (melee/ranged toggle), Whirling Axes (ranged blind or melee slow), Fervor (attack speed stacks), Battle Trance (max attack speed)",Berserker who switches between ranged and melee and attacks incredibly fast
Ursa,"Earthshock (slow), Overpower (multi attacks), Fury Swipes (stacking damage), Enrage (damage multiplier/status resist)",Bear warrior whose attacks stack exponentially and goes into enraged fury
Vengeful Spirit,"Magic Missile (stun), Wave of Terror (armor reduction/vision), Vengeance Aura (damage aura), Nether Swap (swap positions)",Fallen angel who seeks revenge and swaps positions with enemies
Viper,"Poison Attack (slow/DOT orb), Nethertoxin (break/magic resist reduction), Corrosive Skin (poison attackers), Viper Strike (heavy slow/DOT)",Toxic dragon who poisons enemies with corrosive attacks
Weaver,"The Swarm (armor reduction beetles), Shukuchi (invis movement/damage), Geminate Attack (double attack), Time Lapse (restore HP/position)",Time-weaving bug who blinks through reality and rewinds time
Ancient Apparition,"Cold Feet (root/stun), Ice Vortex (slow/magic amp), Chilling Touch (magic damage on attacks), Ice Blast (global DOT/anti-heal)",Frostbitten entity who launches global ice blasts that prevent healing
Chen,"Penitence (slow/damage amp), Holy Persuasion (convert creeps), Divine Favor (heal/teleport), Hand of God (global heal)",Holy knight who converts jungle creeps and heals his army
Crystal Maiden,"Crystal Nova (slow/damage), Frostbite (root), Arcane Aura (mana regen aura), Freezing Field (channel AOE slow/damage)",Ice sorceress who provides mana to allies and freezes enemies in place
Dark Seer,"Vacuum (pull enemies together), Ion Shell (damage aura), Surge (speed buff), Wall of Replica (creates illusions of enemies)",Tactician who manipulates space and creates illusions of enemies
Dark Willow,"Bramble Maze (root after delay), Shadow Realm (phase/damage), Cursed Crown (delayed stun), Bedlam (wisp circles/attacks)",Mischievous fae who roots enemies and phases between realms
Disruptor,"Thunder Strike (nuke over time/vision), Glimpse (send back to previous position), Kinetic Field (trap in circle), Static Storm (AOE silence/damage)",Storm shaman who traps enemies and silences them in electrical storms
Enchantress,"Impetus (distance-based damage), Nature's Attendants (heal over time), Enchant (slow/charm creeps), Untouchable (slow attackers)",Nature's protector who charms enemies and punishes attackers
Grimstroke,"Stroke of Fate (damage through units), Phantom's Embrace (latch/silence), Ink Swell (buff/AOE stun), Soulbind (link two enemies)",Dark artist who paints with supernatural ink and binds enemy souls
Invoker,"Quas/Wex/Exort (elements), Invoke (create spells from elements), 10 combined spells including Tornado, EMP, Chaos Meteor, Sunstrike",Arcane master who wields 10 different spells by combining elemental essences
Jakiro,"Dual Breath (fire and ice DOT/slow), Ice Path (line stun), Liquid Fire (attack slow buildings), Macropyre (fire path DOT)",Twin-headed dragon who combines fire and ice to devastate lanes
Keeper of the Light,"Illuminate (charging beam), Blinding Light (knockback/miss), Chakra Magic (reduce cooldown/mana), Spirit Form (flying/unobstructed)",Ancient light being who channels devastating beams and restores mana
Leshrac,"Split Earth (AOE stun), Diabolic Edict (building damage), Lightning Storm (chain lightning/slow), Pulse Nova (toggle damage aura)",Tormented centaur who pulses with magical energy and destroys structures
Lich,"Frost Blast (nuke/slow), Frost Shield (damage block/slow attackers), Sinister Gaze (channel mana drain), Chain Frost (bouncing ultimate)",Undead necromancer whose ice attacks bounce between enemies
Lina,"Dragon Slave (line nuke), Light Strike Array (AOE stun), Fiery Soul (attack/cast speed stacks), Laguna Blade (massive nuke)",Fire sorceress who incinerates enemies with devastating magical power
Lion,"Earth Spike (line stun), Hex (transform enemy), Mana Drain (channel mana steal), Finger of Death (huge nuke)",Demon witch who transforms enemies and drains their life force
Muerta,"Dead Shot (damage/slow/fear), The Calling (summon circle/damage), Gunslinger (multi-shot/ricochet), Pierce the Veil (ghost form/piercing)",Ghostly gunslinger who becomes ethereal and fires soul-piercing bullets
Necrophos,"Death Pulse (heal/damage), Ghost Shroud (ethereal/regen), Heartstopper Aura (% HP damage), Reaper's Scythe (execute/respawn penalty)",Death priest who pulses with necromantic energy and reaps souls
Oracle,"Fortune's End (purge/root/channel), Fate's Edict (disarm/magic immune), Purifying Flames (damage then heal), False Promise (delay damage/healing)",Mystical seer who manipulates fate and delays damage
Outworld Destroyer,"Arcane Orb (mana-based damage), Astral Imprisonment (banish), Essence Flux (restore mana/damage), Sanity's Eclipse (damage based on mana)",Otherworldly intelligence who banishes enemies and destroys their sanity
Puck,"Illusory Orb (nuke/jaunt to it), Waning Rift (silence/damage), Phase Shift (dodge everything), Dream Coil (leash/stun if break)",Playful faerie dragon who phases through reality and leashes enemies
Pugna,"Nether Blast (building damage), Decrepify (ethereal/magic amp), Nether Ward (punish spellcasters), Life Drain (channel siphon HP)",Undead warlock who drains life and punishes magic users
Queen of Pain,"Shadow Strike (DOT/slow), Blink (short teleport), Scream of Pain (AOE damage), Sonic Wave (line nuke)",Seductive demon who blinks around and screams to devastate enemies
Ringmaster,"Tame the Beasts (fear), Escape Act (dodge projectiles/heal), Impalement (line damage/slow), Wheel of Wonder (mesmerize/damage)",Charismatic showman who controls the battlefield like a circus
Rubick,"Telekinesis (lift and drop), Fade Bolt (damage/reduce attack), Arcane Supremacy (magic amp), Spell Steal (steal last cast spell)",Grand magus who steals and uses enemy spells against them
Shadow Demon,"Disruption (banish/create illusions), Soul Catcher (amplify damage), Shadow Poison (stacking DOT), Demonic Purge (dispel/slow)",Demonic entity who creates illusions and amplifies damage on targets
Shadow Shaman,"Ether Shock (bounce damage), Hex (transform), Shackles (channel disable), Mass Serpent Ward (summon attacking wards)",Voodoo shaman who summons serpent wards and binds enemies
Silencer,"Arcane Curse (silence/damage on cast), Glaives of Wisdom (int-based damage), Last Word (delayed silence/disarm), Global Silence (silence all enemies)",Intelligence-stealing mage who silences the entire enemy team
Skywrath Mage,"Arcane Bolt (int-based homing missile), Concussive Shot (slow), Ancient Seal (silence/magic amp), Mystic Flare (AOE channel damage)",Vengeful mage who rains down devastating arcane missiles
Storm Spirit,"Static Remnant (leave damaging remnant), Electric Vortex (pull/slow), Overload (bonus magic damage), Ball Lightning (zip around map)",Electrical spirit who zips across the battlefield as a lightning ball
Tinker,"Laser (blind/damage), Heat-Seeking Missile (target heroes), Defense Matrix (shield), Rearm (refresh cooldowns)",Genius inventor who constantly refreshes his abilities and items
Warlock,"Fatal Bonds (share damage), Shadow Word (heal or damage over time), Upheaval (channeled slow), Chaotic Offering (summon golem)",Demonic conjurer who summons devastating golems and links enemies
Winter Wyvern,"Arctic Burn (flying/slow), Splinter Blast (nuke allies to damage nearby), Cold Embrace (freeze ally/heal), Winter's Curse (taunt allies to attack)",Ancient dragon who freezes allies to protect them and curses enemies
Witch Doctor,"Paralyzing Cask (bounce stun), Voodoo Restoration (heal aura), Maledict (% damage over time), Death Ward (channel turret)",Voodoo doctor who bounces hexes and channels a deadly turret
Zeus,"Arc Lightning (chain lightning), Lightning Bolt (nuke/vision), Heavenly Jump (leap/static field), Thundergod's Wrath (damage all enemies)",Thunder god who strikes down enemies with lightning from above
Abaddon,"Mist Coil (heal/damage), Aphotic Shield (absorb damage/dispel), Curse of Avernus (slow/silence), Borrowed Time (redirect damage)",Dark protector who shields allies and cannot die while his ultimate is active
Arc Warden,"Flux (slow alone enemy), Magnetic Field (evasion/attack speed), Spark Wraith (delayed nuke), Tempest Double (perfect clone)",Fractal entity who splits into a perfect copy with items and abilities
Bane,"Enfeeble (reduce damage), Brain Sap (nuke/heal), Nightmare (disable/transfer), Fiend's Grip (channel disable/damage)",Nightmare demon who drains minds and traps enemies in eternal sleep
Batrider,"Sticky Napalm (slow/damage amp), Flamebreak (knockback/DOT), Firefly (flying/leave fire trail), Flaming Lasso (drag enemy)",Pyromaniac rider who sets the battlefield ablaze and lassos enemies
Beastmaster,"Wild Axes (throw and return), Call of the Wild (summon hawk/boar), Inner Beast (attack speed aura), Primal Roar (stun/push aside)",Beast master who commands animals and roars to disable enemies
Brewmaster,"Thunder Clap (slow/blind), Cinder Brew (movement/status slow/ignite), Drunken Brawler (evasion/crit), Primal Split (split into elementals)",Drunken brawler who splits into three powerful elemental spirits
Dazzle,"Poison Touch (slow/stun), Shallow Grave (prevent death), Shadow Wave (bounce heal/damage), Bad Juju (reduce armor/cooldowns)",Shadow priest who prevents allies from dying and weakens enemy armor
Death Prophet,"Crypt Swarm (wave damage), Silence (AOE silence/slow), Spirit Siphon (% HP drain), Exorcism (release spirits/heal)",Ghostly prophet who releases swarms of spirits to drain life
Enigma,"Malefice (repeated stun), Demonic Conversion (summon eidolons), Midnight Pulse (% HP AOE), Black Hole (channel AOE disable)",Gravitational being who sucks enemies into a black hole
Io,"Tether (link to ally), Spirits (orbs that damage), Overcharge (buff tethered ally), Relocate (teleport with ally)",Mysterious wisp who tethers to allies and relocates them across the map
Magnus,"Shockwave (line damage), Empower (cleave/damage), Skewer (charge/reposition), Reverse Polarity (pull and stun)",Magnetic warrior who skewers enemies and pulls them together
Marci,"Dispose (throw enemy), Rebound (leap off allies), Sidekick (buff ally), Unleash (rapid strikes/lifesteal)",Silent companion who leaps into battle and unleashes devastating punches
Nature's Prophet,"Sprout (trap in trees), Teleportation (global teleport), Nature's Call (summon treants), Wrath of Nature (global bouncing damage)",Nature's guardian who summons treants and teleports anywhere on the map
Nyx Assassin,"Impale (line stun), Mana Burn (nuke based on mana), Spiked Carapace (reflect stuns), Vendetta (invisibility/crit)",Insectoid assassin who hunts spellcasters and reflects stuns
Pangolier,"Swashbuckle (dash/slash), Shield Crash (reduce damage/nuke), Lucky Shot (disarm/slow chance), Rolling Thunder (ball form)",Dashing duelist who rolls through enemies in a protective ball
Sand King,"Burrowstrike (line stun), Sand Storm (invisibility/AOE damage), Caustic Finale (explode on kill), Epicenter (channel AOE slow/damage)",Scorpion king who burrows underground and creates devastating earthquakes
Snapfire,"Scatterblast (cone damage), Firesnap Cookie (jump/stun), Lil' Shredder (multi-attack/slow), Mortimer Kisses (artillery barrage)",Jovial granny on a dragon who fires artillery globs across the battlefield
Techies,"Sticky Bomb (attach bomb/root), Reactive Tazer (stun attackers), Blast Off (suicide jump/silence), Remote Mines (invisible bombs)",Explosive goblins who lay mines and suicide bomb into enemies
Venomancer,"Venomous Gale (slow/DOT), Poison Sting (slow on attack), Plague Ward (summon ward), Poison Nova (AOE DOT)",Toxic serpent who spreads plague wards and poisons entire teams
Visage,"Grave Chill (slow/speed buff), Soul Assumption (charge-based nuke), Gravekeeper's Cloak (damage resist layers), Summon Familiars (flying gargoyles)",Undead gargoyle who commands stone familiars
Void Spirit,"Aether Remnant (create portal/pull), Dissimilate (phase/portals), Resonant Pulse (shield/damage), Astral Step (dash/mark)",Void monk who phases through dimensions and strikes from portals
Windranger,"Shackleshot (stun/latch to trees), Powershot (charging arrow), Windrun (evasion/speed), Focus Fire (max attack speed single target)",Agile archer who shoots powerful arrows and focuses fire on single targets
